2015-11-21 22:38:25 DEBUG JenaIOEnvironment:180 - Failed to find configuration: location-mapping.ttl;location-mapping.rdf;location-mapping.n3;etc/location-mapping.rdf;etc/location-mapping.n3;etc/location-mapping.ttl
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2001/XMLSchema#string, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2000/01/rdf-schema#Datatype]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://purl.org/net/OCRe/study_design.owl, http://www.w3.org/2000/01/rdf-schema#label, "OCRe study design"]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2002/07/owl#sameAs, http://www.w3.org/2000/01/rdf-schema#label, "mismo que"@es]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2000/01/rdf-schema#comment, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#AnnotationProperty]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2002/07/owl#sameAs, http://www.w3.org/2000/01/rdf-schema#label, "same as"]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2000/01/rdf-schema#isDefinedBy, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#AnnotationProperty]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://www.w3.org/2000/01/rdf-schema#isDefinedBy, http://www.w3.org/2000/01/rdf-schema#label, "is defined by"]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://purl.org/net/OCRe/research.owl, http://www.w3.org/2000/01/rdf-schema#label, "OCRe research"]
2015-11-21 22:38:26 WARN  VivoOntologyParser:156 - No mapping found for:[http://purl.org/vocab/vann/preferredNamespaceUri, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#DatatypeProperty]
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving OCRE_STAT ontology: (triple count:1)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving VIVO ontology: (triple count:1595)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving BIBO ontology: (triple count:941)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving OCRE_SD ontology: (triple count:41)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving EVENT ontology: (triple count:38)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving SOFTWARE ontology: (triple count:12)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving FOAF ontology: (triple count:86)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving GEO ontology: (triple count:986)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving OCRE_SP ontology: (triple count:1)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving FABIO ontology: (triple count:16)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving OCRE_RSCH ontology: (triple count:0)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving SKOS ontology: (triple count:25)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving OBO ontology: (triple count:1512)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving RO ontology: (triple count:2)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving VCARD ontology: (triple count:1501)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving CITO ontology: (triple count:12)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving C4O ontology: (triple count:37)
2015-11-21 22:38:26 INFO  VivoOntologyParser:98 - Step: Saving DC ontology: (triple count:5)
2015-11-21 22:38:26 INFO  VivoOntologyParser:79 - Step: Saving unmapped triple (count:26)
2015-11-21 22:38:26 INFO  VivoOntologyParser:70 - Process completed.
